date,open,high,low,close,volume
3/5/2020,208.3156,211.9101,205.7788,207.2382,78705458
3/6/2020,200.4605,204.8484,198.7367,203.7416,89828392
3/9/2020,189.5007,197.0227,188.1588,189.5888,116423986
3/10/2020,196.9737,200.0981,189.6968,199.912,100599233
3/11/2020,195.2499,196.6211,188.7661,191.2049,89168783
3/12/2020,178.3449,186.8562,173.3009,173.673,137820698
3/13/2020,183.2225,190.4801,174.4664,188.3841,134881981
3/16/2020,170.5682,180.8817,165.6809,165.818,92054386
3/17/2020,171.8611,180.5976,166.2881,178.3939,121257108
3/18/2020,168.0756,175.534,163.3694,172.9678,114156320
3/19/2020,172.0766,179.7161,168.1001,174.006,120896481
3/20/2020,178.0021,179.1089,166.6015,167.1892,118983891
3/23/2020,167.7609,170.99,161.8816,167.3094,124639782
3/24/2020,176.5847,180.4322,174.6609,180.2654,94881785
3/25/2020,181.0113,186.0073,176.6534,178.9305,88754909
3/26/2020,180.4715,189.1579,180.2163,188.3531,79887564
3/27/2020,183.4749,186.9936,181.2469,181.8751,58844975
3/30/2020,183.6418,188.9322,182.8964,188.4905,49356936
3/31/2020,187.9899,191.6412,185.703,186.8808,62659265
4/1/2020,181.3941,184.1914,177.5171,178.9403,53715375
4/2/2020,178.2336,186.5863,177.6251,182.5719,56465348
4/3/2020,182.0714,183.6139,177.9392,179.9807,47487621
4/6/2020,186.8612,193.9968,185.6932,192.8484,64763518
4/7/2020,198.4038,198.9142,192.3773,192.7699,69904478
4/8/2020,194.4223,197.4517,192.5474,196.8628,45940439
4/9/2020,198.5314,199.4638,195.3494,197.1475,68323929
4/13/2020,196.2248,199.6602,195.0765,199.2774,42853948
4/14/2020,203.3408,208.5723,202.6047,207.9442,63959563
4/15/2020,204.6266,207.9184,203.2918,205.5591,47035953
4/16/2020,207.8656,210.4068,205.8143,209.3085,64657362
4/17/2020,211.9684,212.5082,208.1602,211.3108,62863223
4/20/2020,209.3281,211.8899,208.641,208.8079,38249128
4/21/2020,206.7369,207.2571,199.8663,201.103,72932771
4/22/2020,205.2744,208.4251,204.4794,207.0706,40188772
4/23/2020,207.8853,210.4716,206.2118,206.6289,43278542
4/24/2020,207.0412,210.3391,205.6278,209.8876,34303365
